Factorial,DataType,Before,After,Size,Duration
10135,List,1678486989,1678486989,4135080,0.05629015
10136,Array,1678486989,1678486989,81096,0.002650023
10136,List,1678486989,1678486989,4135488,0.05618
10137,Array,1678486989,1678486989,81104,0.005320072
10137,List,1678486989,1678486989,4135896,0.054840088
10138,Array,1678486989,1678486989,81112,0.003579855
10138,List,1678486989,1678486989,4136304,0.059410095
10139,Array,1678486989,1678486989,81120,0.00274992
10139,List,1678486989,1678486989,4136712,0.055429935
10140,Array,1678486989,1678486989,81128,0.004090071
10140,List,1678486989,1678486989,4137120,0.06084013
10141,Array,1678486989,1678486989,81136,0.004649878
10141,List,1678486989,1678486989,4137528,0.064029932
10142,Array,1678486989,1678486989,81144,0.003439903
10142,List,1678486989,1678486989,4137936,0.059770107
10143,Array,1678486989,1678486989,81152,0.005489826
10143,List,1678486989,1678486989,4138344,0.060539961
10144,Array,1678486989,1678486989,81160,0.004839897
10144,List,1678486989,1678486989,4138752,0.063920021
10145,Array,1678486989,1678486989,81168,0.005749941
10145,List,1678486989,1678486989,4139160,0.060689926
10146,Array,1678486989,1678486989,81176,0.003350019
10146,List,1678486989,1678486989,4139568,0.060070038
10147,Array,1678486989,1678486989,81184,0.005510092
10147,List,1678486989,1678486989,4139976,0.061100006
10148,Array,1678486989,1678486989,81192,0.006240129
10148,List,1678486989,1678486990,4140384,0.064189911
10149,Array,1678486990,1678486990,81200,0.003329992
10149,List,1678486990,1678486990,4140792,0.060439825
10150,Array,1678486990,1678486990,81208,0.005399942
10150,List,1678486990,1678486990,4141200,0.06062007
10151,Array,1678486990,1678486990,81216,0.003819942
10151,List,1678486990,1678486990,4141608,0.063979864
10152,Array,1678486990,1678486990,81224,0.00338006
10152,List,1678486990,1678486990,4142016,0.060559988
10153,Array,1678486990,1678486990,81232,0.004670143
10153,List,1678486990,1678486990,4142424,0.057989836
10154,Array,1678486990,1678486990,81240,0.004410028
10154,List,1678486990,1678486990,4142832,0.064460039
10155,Array,1678486990,1678486990,81248,0.003230095
10155,List,1678486990,1678486990,4143240,0.063699961
10156,Array,1678486990,1678486990,81256,0.004989862
10156,List,1678486990,1678486990,4143648,0.061840057
10157,Array,1678486990,1678486990,81264,0.004999876
10157,List,1678486990,1678486990,4144056,0.064280033
10158,Array,1678486990,1678486990,81272,0.003319979
10158,List,1678486990,1678486990,4144464,0.060819864
10159,Array,1678486990,1678486990,81280,0.005779982
10159,List,1678486990,1678486990,4144872,0.061159849
10160,Array,1678486990,1678486990,81288,0.004359961
10160,List,1678486990,1678486990,4145280,0.065370083
10161,Array,1678486990,1678486990,81296,0.003219843
10161,List,1678486990,1678486990,4145688,0.061170101
10162,Array,1678486990,1678486990,81304,0.004540205
10162,List,1678486990,1678486990,4146096,0.064050198
10163,Array,1678486990,1678486990,81312,0.005210161
10163,List,1678486990,1678486991,4146504,0.073670149
10164,Array,1678486991,1678486991,81320,0.003350019
10164,List,1678486991,1678486991,4146912,0.060050011
10165,Array,1678486991,1678486991,81328,0.005350113
10165,List,1678486991,1678486991,4147320,0.057840109
10166,Array,1678486991,1678486991,81336,0.004899979
10166,List,1678486991,1678486991,4147728,0.061829805
10167,Array,1678486991,1678486991,81344,0.003360033
10167,List,1678486991,1678486991,4148136,0.060689926
10168,Array,1678486991,1678486991,81352,0.005460024
10168,List,1678486991,1678486991,4148544,0.064650059
10169,Array,1678486991,1678486991,81360,0.004950047
10169,List,1678486991,1678486991,4148952,0.062180042
10170,Array,1678486991,1678486991,81368,0.01335001
10170,List,1678486991,1678486991,4149360,0.05637002
10171,Array,1678486991,1678486991,81376,0.003249884
10171,List,1678486991,1678486991,4149768,0.055900097
10172,Array,1678486991,1678486991,81384,0.005829811
10172,List,1678486991,1678486991,4150176,0.056139946
10173,Array,1678486991,1678486991,81392,0.004270077
10173,List,1678486991,1678486991,4150584,0.059999943
10174,Array,1678486991,1678486991,81400,0.003029823
10174,List,1678486991,1678486991,4150992,0.05588007
10175,Array,1678486991,1678486991,81408,0.005280018
10175,List,1678486991,1678486991,4151400,0.058749914
10176,Array,1678486991,1678486991,81416,0.004609823
10176,List,1678486991,1678486991,4151808,0.062319994
10177,Array,1678486991,1678486991,81424,0.003129959
10177,List,1678486991,1678486991,4152216,0.095589876
10178,Array,1678486991,1678486992,81432,0.030770063
10178,List,1678486992,1678486992,4152624,0.16264987
10179,Array,1678486992,1678486992,81440,0.003030062
10179,List,1678486992,1678486992,4153032,0.117409945
10180,Array,1678486992,1678486992,81448,0.007329941
10180,List,1678486992,1678486992,4153440,0.055310011
10181,Array,1678486992,1678486992,81456,0.003070116
10181,List,1678486992,1678486992,4153848,0.05576992
10182,Array,1678486992,1678486992,81464,0.005759954
10182,List,1678486992,1678486992,4154256,0.056740046
10183,Array,1678486992,1678486992,81472,0.004420042
10183,List,1678486992,1678486992,4154664,0.069489956
10184,Array,1678486992,1678486992,81480,0.003060102
10184,List,1678486992,1678486992,4155072,0.058190107
10185,Array,1678486992,1678486992,81488,0.0057199
10185,List,1678486992,1678486992,4155480,0.057399988
10186,Array,1678486992,1678486992,81496,0.004469872
10186,List,1678486992,1678486992,4155888,0.06065011
10187,Array,1678486992,1678486992,81504,0.003040075
10187,List,1678486992,1678486992,4156296,0.071460009
10188,Array,1678486992,1678486992,81512,0.007359982
10188,List,1678486992,1678486992,4156704,0.057320118
10189,Array,1678486992,1678486992,81520,0.005559921
10189,List,1678486992,1678486992,4157112,0.058419943
10190,Array,1678486992,1678486992,81528,0.003020048
10190,List,1678486992,1678486992,4157520,0.059209824
10191,Array,1678486992,1678486993,81536,0.00503993
10191,List,1678486993,1678486993,4157928,0.057630062
10192,Array,1678486993,1678486993,81544,0.004979849
10192,List,1678486993,1678486993,4158336,0.063819885
10193,Array,1678486993,1678486993,81552,0.003050089
10193,List,1678486993,1678486993,4158744,0.05727005
10194,Array,1678486993,1678486993,81560,0.004780054
10194,List,1678486993,1678486993,4159152,0.051719904
10195,Array,1678486993,1678486993,81568,0.003520012
10195,List,1678486993,1678486993,4159560,0.040119886
10196,Array,1678486993,1678486993,81576,0.002750158
10196,List,1678486993,1678486993,4159968,0.043970108
10197,Array,1678486993,1678486993,81584,0.005789995
10197,List,1678486993,1678486993,4160376,0.038019896
10198,Array,1678486993,1678486993,81592,0.001600027
10198,List,1678486993,1678486993,4160784,0.04034996
10199,Array,1678486993,1678486993,81600,0.003759861
10199,List,1678486993,1678486993,4161192,0.039649963
10200,Array,1678486993,1678486993,81608,0.002490044
10200,List,1678486993,1678486993,4161600,0.042429924
10201,Array,1678486993,1678486993,81616,0.004019976
10201,List,1678486993,1678486993,4162008,0.042870045
10202,Array,1678486993,1678486993,81624,0.001559973
10202,List,1678486993,1678486993,4162416,0.040419817
10203,Array,1678486993,1678486993,81632,0.003820181
10203,List,1678486993,1678486993,4162824,0.041220188
10204,Array,1678486993,1678486993,81640,0.002640009
10204,List,1678486993,1678486993,4163232,0.040220022
10205,Array,1678486993,1678486993,81648,0.003959894
10205,List,1678486993,1678486993,4163640,0.040420055
10206,Array,1678486993,1678486993,81656,0.002640009
10206,List,1678486993,1678486993,4164048,0.042330027
10207,Array,1678486993,1678486993,81664,0.001560211
10207,List,1678486993,1678486993,4164456,0.041210175
10208,Array,1678486993,1678486993,81672,0.002779961
10208,List,1678486993,1678486993,4164864,0.039809942
10209,Array,1678486993,1678486993,81680,0.002609968
10209,List,1678486993,1678486993,4165272,0.040410042
10210,Array,1678486993,1678486993,81688,0.002959967
10210,List,1678486993,1678486993,4165680,0.040390015
10211,Array,1678486993,1678486993,81696,0.002530098
10211,List,1678486993,1678486993,4166088,0.0458498
10212,Array,1678486993,1678486993,81704,0.001640081
10212,List,1678486993,1678486994,4166496,0.040750027
10213,Array,1678486994,1678486994,81712,0.003510237
10213,List,1678486994,1678486994,4166904,0.040840149
10214,Array,1678486994,1678486994,81720,0.002650023
10214,List,1678486994,1678486994,4167312,0.046090126
10215,Array,1678486994,1678486994,81728,0.003530025
10215,List,1678486994,1678486994,4167720,0.044229984
10216,Array,1678486994,1678486994,81736,0.001559973
10216,List,1678486994,1678486994,4168128,0.041069984
10217,Array,1678486994,1678486994,81744,0.003659964
10217,List,1678486994,1678486994,4168536,0.041130066
10218,Array,1678486994,1678486994,81752,0.002990007
10218,List,1678486994,1678486994,4168944,0.041409969
10219,Array,1678486994,1678486994,81760,0.003969908
10219,List,1678486994,1678486994,4169352,0.041399956
10220,Array,1678486994,1678486994,81768,0.002949953
10220,List,1678486994,1678486994,4169760,0.042969942
10221,Array,1678486994,1678486994,81776,0.00158
10221,List,1678486994,1678486994,4170168,0.042469978
10222,Array,1678486994,1678486994,81784,0.003629923
10222,List,1678486994,1678486994,4170576,0.040920019
10223,Array,1678486994,1678486994,81792,0.002619982
10223,List,1678486994,1678486994,4170984,0.041769981
10224,Array,1678486994,1678486994,81800,0.003000021
10224,List,1678486994,1678486994,4171392,0.04027009
10225,Array,1678486994,1678486994,81808,0.005949974
10225,List,1678486994,1678486994,4171800,0.042140007
10226,Array,1678486994,1678486994,81816,0.001410007
10226,List,1678486994,1678486994,4172208,0.040249825
10227,Array,1678486994,1678486994,81824,0.003679991
10227,List,1678486994,1678486994,4172616,0.040019989
10228,Array,1678486994,1678486994,81832,0.00225997
10228,List,1678486994,1678486994,4173024,0.039769888
10229,Array,1678486994,1678486994,81840,0.004810095
10229,List,1678486994,1678486994,4173432,0.045629978
10230,Array,1678486994,1678486994,81848,0.001440048
10230,List,1678486994,1678486994,4173840,0.040979862
10231,Array,1678486994,1678486994,81856,0.003720045
10231,List,1678486994,1678486994,4174248,0.041289806
10232,Array,1678486994,1678486994,81864,0.003329992
10232,List,1678486994,1678486994,4174656,0.040440083
10233,Array,1678486994,1678486994,81872,0.003749847
10233,List,1678486994,1678486994,4175064,0.04324007
10234,Array,1678486994,1678486994,81880,0.003959894
10234,List,1678486994,1678486995,4175472,0.044749975
10235,Array,1678486995,1678486995,81888,0.001509905
10235,List,1678486995,1678486995,4175880,0.041640043
10236,Array,1678486995,1678486995,81896,0.003350019
10236,List,1678486995,1678486995,4176288,0.04102993
10237,Array,1678486995,1678486995,81904,0.002499819
10237,List,1678486995,1678486995,4176696,0.048069954
10238,Array,1678486995,1678486995,81912,0.003620148
10238,List,1678486995,1678486995,4177104,0.04523015
10239,Array,1678486995,1678486995,81920,0.001429796
10239,List,1678486995,1678486995,4177512,0.041840076
10240,Array,1678486995,1678486995,81928,0.004809856
10240,List,1678486995,1678486995,4177920,0.042460203
10241,Array,1678486995,1678486995,81936,0.004160166
10241,List,1678486995,1678486995,4178328,0.042300224
10242,Array,1678486995,1678486995,81944,0.004899979
10242,List,1678486995,1678486995,4178736,0.043330193
10243,Array,1678486995,1678486995,81952,0.007450104
10243,List,1678486995,1678486995,4179144,0.041589975
10244,Array,1678486995,1678486995,81960,0.001399994
10244,List,1678486995,1678486995,4179552,0.040159941
10245,Array,1678486995,1678486995,81968,0.0041399
10245,List,1678486995,1678486995,4179960,0.040650129
10246,Array,1678486995,1678486995,81976,0.002060175
10246,List,1678486995,1678486995,4180368,0.03971982
10247,Array,1678486995,1678486995,81984,0.004120111
10247,List,1678486995,1678486995,4180776,0.046519995
10248,Array,1678486995,1678486995,81992,0.001560211
10248,List,1678486995,1678486995,4181184,0.041679859
10249,Array,1678486995,1678486995,82000,0.004709959
10249,List,1678486995,1678486995,4181592,0.041640043
10250,Array,1678486995,1678486995,82008,0.004379988
10250,List,1678486995,1678486995,4182000,0.042279959
10251,Array,1678486995,1678486995,82016,0.004949808
10251,List,1678486995,1678486995,4182408,0.041310072
10252,Array,1678486995,1678486995,82024,0.003920078
10252,List,1678486995,1678486995,4182816,0.042600155
10253,Array,1678486995,1678486995,82032,0.001519918
10253,List,1678486995,1678486995,4183224,0.040040016
10254,Array,1678486995,1678486995,82040,0.004789829
10254,List,1678486995,1678486995,4183632,0.040699959
10255,Array,1678486995,1678486995,82048,0.002000093
10255,List,1678486995,1678486995,4184040,0.042239904
10256,Array,1678486995,1678486996,82056,0.005709887
10256,List,1678486996,1678486996,4184448,0.046200037
10257,Array,1678486996,1678486996,82064,0.001539946
10257,List,1678486996,1678486996,4184856,0.042069912
10258,Array,1678486996,1678486996,82072,0.005990028
10258,List,1678486996,1678486996,4185264,0.041970015
10259,Array,1678486996,1678486996,82080,0.004590034
10259,List,1678486996,1678486996,4185672,0.047880173
10260,Array,1678486996,1678486996,82088,0.005579948
10260,List,1678486996,1678486996,4186080,0.041699886
10261,Array,1678486996,1678486996,82096,0.007659912
10261,List,1678486996,1678486996,4186488,0.039530039
10262,Array,1678486996,1678486996,82104,0.001489878
10262,List,1678486996,1678486996,4186896,0.041429996
10263,Array,1678486996,1678486996,82112,0.004980087
10263,List,1678486996,1678486996,4187304,0.042449951
10264,Array,1678486996,1678486996,82120,0.001859903
10264,List,1678486996,1678486996,4187712,0.039749861
10265,Array,1678486996,1678486996,82128,0.005270004
10265,List,1678486996,1678486996,4188120,0.046309948
10266,Array,1678486996,1678486996,82136,0.001569986
10266,List,1678486996,1678486996,4188528,0.04163003
10267,Array,1678486996,1678486996,82144,0.00481987
10267,List,1678486996,1678486996,4188936,0.041880131
10268,Array,1678486996,1678486996,82152,0.004750013
10268,List,1678486996,1678486996,4189344,0.041779995
10269,Array,1678486996,1678486996,82160,0.004260063
10269,List,1678486996,1678486996,4189752,0.042180061
10270,Array,1678486996,1678486996,82168,0.007429838
10270,List,1678486996,1678486996,4190160,0.03937006
10271,Array,1678486996,1678486996,82176,0.001420021
10271,List,1678486996,1678486996,4190568,0.040369987
10272,Array,1678486996,1678486996,82184,0.004430056
10272,List,1678486996,1678486996,4190976,0.042840004
10273,Array,1678486996,1678486996,82192,0.001909971
10273,List,1678486996,1678486996,4191384,0.040169954
10274,Array,1678486996,1678486996,82200,0.005310059
10274,List,1678486996,1678486996,4191792,0.04576993
10275,Array,1678486996,1678486996,82208,0.001469851
10275,List,1678486996,1678486996,4192200,0.042850018
10276,Array,1678486996,1678486996,82216,0.005120039
